"ID","Duration (in seconds)","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Intergroup_dominance_Q1","Intergroup_dominance_Q2","Intergroup_dominance_Q3","Intergroup_dominance_Q4","Intergroup_dominance_Q5","Intergroup_dominance_Q6","Intergroup_dominance_Q7","Intergroup_dominance_Q8","Antiegalitarian_Q1","Antiegalitarian_Q2","Antiegalitarian_Q3","Antiegalitarian_Q4","Antiegalitarian_Q5","Antiegalitarian_Q6","Antiegalitarian_Q7","Antiegalitarian_Q8","SC0"
82,"521","10","6","365","655","32","67","195","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Slightly Agree","Slightly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","82"
83,"174","9","4","385","617","26","5’7","200","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Slightly Agree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","79"
84,"168","7","5","245","405","12","72","190",NA,NA,NA,NA,NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","40"
85,"148",NA,NA,NA,NA,NA,NA,NA,"Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Slightly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","76"
86,"135",NA,"7-10","Don’t know","Idk","10","66 inches","128","Strongly Disagree",NA,NA,NA,NA,NA,NA,NA,"Somewhat Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","50"
87,"271",NA,"7","315","415","28","73","212","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Slightly Disagree","Strongly Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Slightly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Agree","Somewhat Agree","Somewhat Agree","74"
88,"176",NA,"0","Idk","Idk","Idk","5’ 3”","125 lbs","Strongly Disagree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","73"
89,"1174","7","5 days a week","120lbs","204lbs","9","58inches","118","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","Strongly Agree","Somewhat Agree","Strongly Agree","Neutral","Neutral","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Slightly Agree","Slightly Disagree","80"
90,"335","8","4","275","350","18","71","200","Somewhat Agree","Strongly Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Disagree","79"
91,"229","8","5","200","345","20","70","200","Strongly Disagree","Strongly Agree","Strongly Disagree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Strongly Agree","Slightly Agree","Neutral","Somewhat Disagree","Somewhat Agree","Neutral","88"
92,"622",NA,"3","260","300","5","72","240","Somewhat Agree","Somewhat Disagree","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Slightly Disagree","Slightly Agree","Slightly Disagree","Somewhat Disagree","Slightly Disagree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","93"
93,"324","8","6","250","400","20","69","140","Strongly Agree","Slightly Agree","Strongly Agree","Strongly Agree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Neutral","Neutral","Neutral","Strongly Disagree","Slightly Disagree","Neutral","Somewhat Agree","80"
